,country,continent,year,lifeExp,pop
0,Argentina,Americas,1952,62.485,17876956.0
1,Argentina,Americas,1957,64.399,19610538.0
2,Argentina,Americas,1962,65.142,21283783.0
3,Argentina,Americas,1967,65.634,22934225.0
4,Argentina,Americas,1972,67.065,24779799.0
5,Argentina,Americas,1977,68.48100000000001,26983828.0
6,Argentina,Americas,1982,69.942,29341374.0
7,Argentina,Americas,1987,70.774,31620918.0
8,Argentina,Americas,1992,71.868,33958947.0
9,Argentina,Americas,1997,73.275,36203463.0
10,Argentina,Americas,2002,74.34,38331121.0
11,Argentina,Americas,2007,75.32,40301927.0
12,Canada,Americas,1950,68.28,14011422.0
13,Canada,Americas,1951,68.55,14330675.0
14,Canada,Americas,1952,68.75,14785584.0
15,Canada,Americas,1953,69.13,15183375.0
16,Canada,Americas,1954,69.99,15636245.0
17,Canada,Americas,1955,70.05,16050356.0
18,Canada,Americas,1956,70.04,16445087.0
19,Canada,Americas,1957,69.96,17010154.0
20,Canada,Americas,1958,70.62,17462004.0
21,Canada,Americas,1959,70.66,17872034.0
22,Canada,Americas,1960,71.04,18266765.0
23,Canada,Americas,1961,71.27,18634977.0
24,Canada,Americas,1962,71.3,18985849.0
25,Canada,Americas,1963,71.31,19342841.0
26,Canada,Americas,1964,71.69,19711053.0
27,Canada,Americas,1965,71.79,20071104.0
28,Canada,Americas,1966,71.92,20448496.0
29,Canada,Americas,1967,72.13,20819767.0
30,Canada,Americas,1968,72.29,21143100.0
31,Canada,Americas,1969,72.45,21448073.0
32,Canada,Americas,1970,72.65,21749986.0
33,Canada,Americas,1971,72.98,22026400.0
34,Canada,Americas,1972,72.88,22284500.0
35,Canada,Americas,1973,73.11,22559500.0
36,Canada,Americas,1974,73.19,22874700.0
37,Canada,Americas,1975,73.49,23209200.0
38,Canada,Americas,1976,73.92,23517500.0
39,Canada,Americas,1977,74.21,23796400.0
40,Canada,Americas,1978,74.54,24036300.0
41,Canada,Americas,1979,74.9,24276900.0
42,Canada,Americas,1980,75.14,24593300.0
43,Canada,Americas,1981,75.55,24900000.0
44,Canada,Americas,1982,75.76,25201900.0
45,Canada,Americas,1983,76.13,25456300.0
46,Canada,Americas,1984,76.43,25701800.0
47,Canada,Americas,1985,76.41,25941600.0
48,Canada,Americas,1986,76.56,26203800.0
49,Canada,Americas,1987,76.86,26549700.0
50,Canada,Americas,1988,76.94,26894800.0
51,Canada,Americas,1989,77.2,27379300.0
52,Canada,Americas,1990,77.51,27790600.0
53,Canada,Americas,1991,77.69,28117600.0
54,Canada,Americas,1992,77.95,28523502.0
55,Canada,Americas,1993,77.83,28920644.0
56,Canada,Americas,1994,78.02,29262472.0
57,Canada,Americas,1995,78.14,29619002.0
58,Canada,Americas,1996,78.4,29983162.0
59,Canada,Americas,1997,78.61,30305843.0
60,Canada,Americas,1998,78.83,30628924.0
61,Canada,Americas,1999,79.06,30957019.0
62,Canada,Americas,2000,79.42,31278097.0
63,Canada,Americas,2001,79.65,31592805.0
64,Canada,Americas,2002,79.77,31902268.0
65,Canada,Americas,2003,79.95,32207113.0
66,Canada,Americas,2004,80.25,32507874.0
67,Canada,Americas,2005,80.36,32805041.0
68,Canada,Americas,2007,80.653,33390141.0
69,Egypt,Africa,1952,41.893,22223309.0
70,Egypt,Africa,1957,44.443999999999996,25009741.0
71,Egypt,Africa,1962,46.992,28173309.0
72,Egypt,Africa,1967,49.293,31681188.0
73,Egypt,Africa,1972,51.137,34807417.0
74,Egypt,Africa,1977,53.318999999999996,38783863.0
75,Egypt,Africa,1982,56.006,45681811.0
76,Egypt,Africa,1987,59.797,52799062.0
77,Egypt,Africa,1992,63.674,59402198.0
78,Egypt,Africa,1997,67.217,66134291.0
79,Egypt,Africa,2002,69.806,73312559.0
80,Egypt,Africa,2007,71.33800000000001,80264543.0
81,Hungary,Europe,1950,62.07,9338000.0
82,Hungary,Europe,1951,62.46,9423000.0
83,Hungary,Europe,1952,64.03,9504000.0
84,Hungary,Europe,1953,63.87,9595000.0
85,Hungary,Europe,1954,65.43,9706000.0
86,Hungary,Europe,1955,66.88,9825000.0
87,Hungary,Europe,1956,66.04,9911000.0
88,Hungary,Europe,1957,66.41,9839000.0
89,Hungary,Europe,1958,67.42,9882000.0
90,Hungary,Europe,1959,67.32,9937000.0
91,Hungary,Europe,1960,68.09,9983512.0
92,Hungary,Europe,1961,69.02,10029000.0
93,Hungary,Europe,1962,67.96,10063000.0
94,Hungary,Europe,1963,68.98,10091000.0
95,Hungary,Europe,1964,69.48,10124000.0
96,Hungary,Europe,1965,69.17,10152934.0
97,Hungary,Europe,1966,69.93,10184561.0
98,Hungary,Europe,1967,69.5,10223422.0
99,Hungary,Europe,1968,69.33,10263542.0
100,Hungary,Europe,1969,69.4,10302814.0
101,Hungary,Europe,1970,69.24,10337004.0
102,Hungary,Europe,1971,69.13,10364869.0
103,Hungary,Europe,1972,69.76,10394091.0
104,Hungary,Europe,1973,69.63,10425984.0
105,Hungary,Europe,1974,69.35,10471272.0
106,Hungary,Europe,1975,69.4,10531820.0
107,Hungary,Europe,1976,69.69,10588729.0
108,Hungary,Europe,1977,69.95,10637171.0
